Community Type,Inoculum,Salinity,Type,Number,PA A,PA B,SL A,SL B,SP A,SP B,SC A,SC B
Mixed,Sterile,Low,MCL,1,2.8,3.3,6.5,16.7,2.4,0.7,1.9,1.7
Native,Saline,High,NSH,3,NA,NA,7.5,15.1,7.1,3.5,7.4,8
Native,Fresh,High,NFH,4,NA,NA,40.4,39.6,8.6,2.3,11.5,6.2
Native,Fresh,Low,NFL,5,NA,NA,45.3,36.4,11.4,2.2,4.5,6.2
Mixed,Saline,Low,MSL,6,6.8,13.2,5.9,13.4,1.7,0.3,0.2,2.7
Mixed,Saline,Low,MSL,7,5.5,4.4,10.4,25.6,0.4,0.5,1.2,1.5
Native,Fresh,Low,NFL,8,NA,NA,57.5,36.8,8.9,2.2,9.5,6.8
Native,Saline,Low,NSL,9,NA,NA,14.2,29.2,5.5,2.5,4.5,11.1
Phragmites,Fresh,High,PFH,10,8.8,12,NA,NA,NA,NA,NA,NA
Phragmites,Fresh,Low,PFL,11,8.5,8.3,NA,NA,NA,NA,NA,NA
Native,Sterile,Low,NCL,12,NA,NA,14.1,49.1,5.3,1.5,1.6,4.4
Mixed,Saline,High,MSH,13,7.8,21.6,3.1,14.8,0.5,0.7,1.5,9.1
Phragmites,Fresh,High,PFH,14,12.2,8.2,NA,NA,NA,NA,NA,NA
Mixed,Saline,High,MSH,15,12.2,28,3,13.4,1,3.4,1,4.4
Native,Saline,Low,NSL,16,NA,NA,10.3,27.3,2.9,1.7,1.9,4
Mixed,Sterile,High,MCH,17,3.5,4.9,11.5,21.3,2.5,0.7,0.7,0.6
Mixed,Saline,Low,MSL,18,2.8,5.4,18.9,26.8,1.7,0.4,0.2,2.4
Native,Sterile,Low,NCL,19,NA,NA,11,32.3,3.7,3.3,3.6,6
Native,Sterile,Low,NCL,20,NA,NA,4.5,17.1,1.6,0.9,7.7,13.5
Phragmites,Saline,Low,PSL,21,55.5,60.1,NA,NA,NA,NA,NA,NA
Phragmites,Fresh,High,PFH,22,11,28.4,NA,NA,NA,NA,NA,NA
Native,Saline,Low,NSL,23,NA,NA,6.5,23.4,2.3,1.8,3.5,6.1
Native,Sterile,Low,NCL,24,NA,NA,10,39.6,4.5,4.8,9.1,12.6
Phragmites,Sterile,Low,PCL,25,8.9,14.4,NA,NA,NA,NA,NA,NA
Mixed,Fresh,High,MFH,26,9.1,31.9,4.1,12.7,0.1,0.2,7.9,1.7
Phragmites,Fresh,High,PFH,29,8.6,16.8,NA,NA,NA,NA,NA,NA
Native,Sterile,High,NCH,30,NA,NA,11.7,27.1,7.1,2.5,5.7,5.7
Native,Fresh,High,NFH,31,NA,NA,13.9,30.5,5.8,2.9,1.3,2.3
Mixed,Sterile,High,MCH,32,4.8,13.5,9.4,11.7,6.1,0.3,6.5,9.1
Phragmites,Fresh,Low,PFL,33,14.3,15,NA,NA,NA,NA,NA,NA
Phragmites,Fresh,High,PFH,34,11,9.9,NA,NA,NA,NA,NA,NA
Mixed,Fresh,High,MFH,35,13.9,27.8,4.7,8.7,4.8,1.2,1.1,1.5
Native,Sterile,High,NCH,36,NA,NA,9.9,20.6,4.6,1.9,6.5,12.5
Phragmites,Sterile,High,PCH,37,10.1,14.6,NA,NA,NA,NA,NA,NA
Mixed,Fresh,Low,MFL,38,1.6,3.5,13.1,20,2.4,0.7,6.2,14.4
Phragmites,Sterile,Low,PCL,39,18.9,11.8,NA,NA,NA,NA,NA,NA
Mixed,Sterile,Low,MCL,41,3.8,7.2,13,28.1,3,0.1,2.7,4.7
Phragmites,Sterile,High,PCH,42,15,18.9,NA,NA,NA,NA,NA,NA
Phragmites,Saline,High,PSH,43,39,31.2,NA,NA,NA,NA,NA,NA
Native,Sterile,High,NCH,44,NA,NA,14.8,20.7,10,2.9,8.6,7.8
Phragmites,Saline,Low,PSL,45,41.4,75.6,NA,NA,NA,NA,NA,NA
Mixed,Saline,High,MSH,46,14.6,25.9,3.2,21.4,1,0.1,1.2,2.7
Native,Sterile,High,NCH,48,NA,NA,11.6,31.5,17.7,1.6,5.1,5
Phragmites,Sterile,High,PCH,49,12.3,17.8,NA,NA,NA,NA,NA,NA
Native,Saline,Low,NSL,50,NA,NA,6.6,29.6,4,3.3,5,7.6
Phragmites,Saline,Low,PSL,51,40,18.2,NA,NA,NA,NA,NA,NA
Mixed,Saline,High,MSH,53,22.6,35.8,2,5,0.7,0.5,1,2.1
Phragmites,Saline,Low,PSL,54,45.1,28.5,NA,NA,NA,NA,NA,NA
Mixed,Sterile,High,MCH,55,6.1,17.6,1.9,21.4,0.2,0.9,1,6.3
Mixed,Fresh,High,MFH,56,23.9,30.8,1.1,8.5,0.7,1,0.2,1.4
Native,Sterile,Low,NCL,57,NA,NA,16.2,36.5,6.2,0.4,13.6,16.7
Native,Fresh,High,NFH,58,NA,NA,12.5,17.8,19.6,3.3,8.3,4.5
Mixed,Fresh,High,MFH,59,18.5,29.6,4.2,9.5,2.5,0.1,2.4,0.8
Phragmites,Saline,High,PSH,60,37.3,34.5,NA,NA,NA,NA,NA,NA
Native,Fresh,Low,NFL,61,NA,NA,12.5,38.2,6.4,6.1,5.5,14.9
Mixed,Fresh,Low,MFL,62,2.2,3.3,18.8,27.5,2,0,0.3,0.4
Phragmites,Fresh,Low,PFL,63,10,17,NA,NA,NA,NA,NA,NA
Native,Fresh,Low,NFL,64,NA,NA,62.1,52.3,2.4,5.7,8.9,6.6
Phragmites,Sterile,Low,PCL,65,12.5,19.3,NA,NA,NA,NA,NA,NA
Mixed,Saline,Low,MSL,66,3.7,3.8,17.4,39.9,4.5,2.3,0.7,1.4
Phragmites,Saline,High,PSH,67,35.7,25.6,NA,NA,NA,NA,NA,NA
Mixed,Fresh,High,MFH,68,19,22.8,6.4,12.2,1.7,0.5,2.9,1
Mixed,Sterile,High,MCH,69,3.4,10.4,15.3,26.3,6.4,7.9,4.9,2.6
Phragmites,Saline,High,PSH,70,39,26.2,NA,NA,NA,NA,NA,NA
Native,Fresh,Low,NFL,71,NA,NA,23.9,23.2,5.7,1.1,7.1,4
Mixed,Fresh,High,MFH,72,21.3,27.1,1.1,4,6.3,4.3,2.9,2
Native,Fresh,High,NFH,73,NA,NA,21.8,31.3,13.1,3.2,9.7,11
Phragmites,Fresh,Low,PFL,74,12.8,49.2,NA,NA,NA,NA,NA,NA
Native,Saline,Low,NSL,75,NA,NA,11.1,31.2,3.5,10.1,4.2,10.4
